.artifacts/analysis-2025/01-SCAN-RESULTS.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART1.md → scripts/setup.sh | call | Runs scripts/setup.sh
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → .cursor/ai-driven-workflow/10-process-tasks.md | reference | References .cursor/ai-driven-workflow/10-process-tasks.md
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → .cursor/context-kit/governance-status.md | reference | References .cursor/context-kit/governance-status.md
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → ai-driven-workflow/10-process-tasks.md | reference | References ai-driven-workflow/10-process-tasks.md
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → scripts/aggregate_evidence_7.py | call | Executes scripts/aggregate_evidence_7.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → scripts/doctor.py | call | Executes scripts/doctor.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → scripts/install_and_test.sh | call | Runs scripts/install_and_test.sh
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → scripts/package_environment_assets.py | call | Executes scripts/package_environment_assets.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → scripts/run_protocol_7_gates.py | call | Executes scripts/run_protocol_7_gates.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → scripts/scaffold_phase_artifacts.py | call | Executes scripts/scaffold_phase_artifacts.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → scripts/validate_environment_requirements.py | call | Executes scripts/validate_environment_requirements.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED-PART2.md → scripts/validate_prerequisites_7.py | call | Executes scripts/validate_prerequisites_7.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → .cursor/ai-driven-workflow/10-process-tasks.md | reference | References .cursor/ai-driven-workflow/10-process-tasks.md
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → .cursor/context-kit/governance-status.md | reference | References .cursor/context-kit/governance-status.md
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → ai-driven-workflow/10-process-tasks.md | reference | References ai-driven-workflow/10-process-tasks.md
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → scripts/aggregate_evidence_7.py | call | Executes scripts/aggregate_evidence_7.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → scripts/doctor.py | call | Executes scripts/doctor.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → scripts/install_and_test.sh | call | Runs scripts/install_and_test.sh
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → scripts/package_environment_assets.py | call | Executes scripts/package_environment_assets.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → scripts/run_protocol_7_gates.py | call | Executes scripts/run_protocol_7_gates.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → scripts/scaffold_phase_artifacts.py | call | Executes scripts/scaffold_phase_artifacts.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → scripts/setup.sh | call | Runs scripts/setup.sh
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → scripts/validate_environment_requirements.py | call | Executes scripts/validate_environment_requirements.py
.artifacts/protocol-reformat/09-environment-setup-validation/REFORMATTED.md → scripts/validate_prerequisites_7.py | call | Executes scripts/validate_prerequisites_7.py
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → .cursor/ai-driven-workflow/11-integration-testing.md | reference | References .cursor/ai-driven-workflow/11-integration-testing.md
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → .cursor/ai-driven-workflow/4-quality-audit.md | reference | References .cursor/ai-driven-workflow/4-quality-audit.md
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → .cursor/rules/ | reference | References .cursor/rules/
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → .cursor/tasks/ | reference | References .cursor/tasks/
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → .cursor/tasks/tasks- | reference | References .cursor/tasks/tasks-
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → ai-driven-workflow/11-integration-testing.md | reference | References ai-driven-workflow/11-integration-testing.md
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → ai-driven-workflow/4-quality-audit.md | reference | References ai-driven-workflow/4-quality-audit.md
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → scripts/aggregate_evidence_3.py | call | Executes scripts/aggregate_evidence_3.py
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → scripts/run_protocol_3_gates.py | call | Executes scripts/run_protocol_3_gates.py
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → scripts/update_task_state.py | call | Executes scripts/update_task_state.py
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → scripts/validate_preflight.py | call | Executes scripts/validate_preflight.py
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → scripts/validate_prerequisites_3.py | call | Executes scripts/validate_prerequisites_3.py
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → scripts/validate_quality_gate.py | call | Executes scripts/validate_quality_gate.py
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → scripts/validate_session_closeout.py | call | Executes scripts/validate_session_closeout.py
.artifacts/protocol-reformat/10-process-tasks/10-process-tasks.md → scripts/validate_subtask_compliance.py | call | Executes scripts/validate_subtask_compliance.py
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/11-integration-testing.md | reference | References .cursor/ai-driven-workflow/11-integration-testing.md
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/4-quality-audit.md | reference | References .cursor/ai-driven-workflow/4-quality-audit.md
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → .cursor/rules/ | reference | References .cursor/rules/
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → .cursor/tasks/ | reference | References .cursor/tasks/
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → .cursor/tasks/tasks- | reference | References .cursor/tasks/tasks-
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → ai-driven-workflow/11-integration-testing.md | reference | References ai-driven-workflow/11-integration-testing.md
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → ai-driven-workflow/4-quality-audit.md | reference | References ai-driven-workflow/4-quality-audit.md
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → scripts/aggregate_evidence_3.py | call | Executes scripts/aggregate_evidence_3.py
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → scripts/run_protocol_3_gates.py | call | Executes scripts/run_protocol_3_gates.py
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → scripts/update_task_state.py | call | Executes scripts/update_task_state.py
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → scripts/validate_preflight.py | call | Executes scripts/validate_preflight.py
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → scripts/validate_prerequisites_3.py | call | Executes scripts/validate_prerequisites_3.py
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → scripts/validate_quality_gate.py | call | Executes scripts/validate_quality_gate.py
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → scripts/validate_session_closeout.py | call | Executes scripts/validate_session_closeout.py
.artifacts/protocol-reformat/10-process-tasks/ORIGINAL-BACKUP.md → scripts/validate_subtask_compliance.py | call | Executes scripts/validate_subtask_compliance.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART1.md → .cursor/ai-driven-workflow/4-quality-audit.md | reference | References .cursor/ai-driven-workflow/4-quality-audit.md
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART1.md → .cursor/rules/ | reference | References .cursor/rules/
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART1.md → .cursor/tasks/tasks- | reference | References .cursor/tasks/tasks-
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART1.md → ai-driven-workflow/4-quality-audit.md | reference | References ai-driven-workflow/4-quality-audit.md
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART1.md → scripts/update_task_state.py | call | Executes scripts/update_task_state.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → .cursor/ai-driven-workflow/11-integration-testing.md | reference | References .cursor/ai-driven-workflow/11-integration-testing.md
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → .cursor/tasks/ | reference | References .cursor/tasks/
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → .cursor/tasks/tasks- | reference | References .cursor/tasks/tasks-
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → ai-driven-workflow/11-integration-testing.md | reference | References ai-driven-workflow/11-integration-testing.md
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → scripts/aggregate_evidence_3.py | call | Executes scripts/aggregate_evidence_3.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → scripts/run_protocol_3_gates.py | call | Executes scripts/run_protocol_3_gates.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → scripts/validate_preflight.py | call | Executes scripts/validate_preflight.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → scripts/validate_prerequisites_3.py | call | Executes scripts/validate_prerequisites_3.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → scripts/validate_quality_gate.py | call | Executes scripts/validate_quality_gate.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → scripts/validate_session_closeout.py | call | Executes scripts/validate_session_closeout.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED-PART2.md → scripts/validate_subtask_compliance.py | call | Executes scripts/validate_subtask_compliance.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → .cursor/ai-driven-workflow/11-integration-testing.md | reference | References .cursor/ai-driven-workflow/11-integration-testing.md
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → .cursor/ai-driven-workflow/4-quality-audit.md | reference | References .cursor/ai-driven-workflow/4-quality-audit.md
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → .cursor/rules/ | reference | References .cursor/rules/
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → .cursor/tasks/ | reference | References .cursor/tasks/
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → .cursor/tasks/tasks- | reference | References .cursor/tasks/tasks-
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → ai-driven-workflow/11-integration-testing.md | reference | References ai-driven-workflow/11-integration-testing.md
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → ai-driven-workflow/4-quality-audit.md | reference | References ai-driven-workflow/4-quality-audit.md
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → scripts/aggregate_evidence_3.py | call | Executes scripts/aggregate_evidence_3.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → scripts/run_protocol_3_gates.py | call | Executes scripts/run_protocol_3_gates.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → scripts/update_task_state.py | call | Executes scripts/update_task_state.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → scripts/validate_preflight.py | call | Executes scripts/validate_preflight.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → scripts/validate_prerequisites_3.py | call | Executes scripts/validate_prerequisites_3.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → scripts/validate_quality_gate.py | call | Executes scripts/validate_quality_gate.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → scripts/validate_session_closeout.py | call | Executes scripts/validate_session_closeout.py
.artifacts/protocol-reformat/10-process-tasks/REFORMATTED.md → scripts/validate_subtask_compliance.py | call | Executes scripts/validate_subtask_compliance.py
.artifacts/protocol-reformat/11-integration-testing/11-integration-testing.md → .cursor/ai-driven-workflow/12-quality-audit.md | reference | References .cursor/ai-driven-workflow/12-quality-audit.md
.artifacts/protocol-reformat/11-integration-testing/11-integration-testing.md → ai-driven-workflow/12-quality-audit.md | reference | References ai-driven-workflow/12-quality-audit.md
.artifacts/protocol-reformat/11-integration-testing/11-integration-testing.md → scripts/aggregate_evidence_9.py | call | Executes scripts/aggregate_evidence_9.py
.artifacts/protocol-reformat/11-integration-testing/11-integration-testing.md → scripts/generate_artifact_manifest.py | call | Executes scripts/generate_artifact_manifest.py
.artifacts/protocol-reformat/11-integration-testing/11-integration-testing.md → scripts/run_contract_tests.py | call | Executes scripts/run_contract_tests.py
.artifacts/protocol-reformat/11-integration-testing/11-integration-testing.md → scripts/run_protocol_11_gates.py | call | Executes scripts/run_protocol_11_gates.py
.artifacts/protocol-reformat/11-integration-testing/11-integration-testing.md → scripts/validate_environment.py | call | Executes scripts/validate_environment.py
.artifacts/protocol-reformat/11-integration-testing/11-integration-testing.md → scripts/validate_prerequisites_9.py | call | Executes scripts/validate_prerequisites_9.py
.artifacts/protocol-reformat/11-integration-testing/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/12-quality-audit.md | reference | References .cursor/ai-driven-workflow/12-quality-audit.md
.artifacts/protocol-reformat/11-integration-testing/ORIGINAL-BACKUP.md → ai-driven-workflow/12-quality-audit.md | reference | References ai-driven-workflow/12-quality-audit.md
.artifacts/protocol-reformat/11-integration-testing/ORIGINAL-BACKUP.md → scripts/aggregate_evidence_9.py | call | Executes scripts/aggregate_evidence_9.py
.artifacts/protocol-reformat/11-integration-testing/ORIGINAL-BACKUP.md → scripts/generate_artifact_manifest.py | call | Executes scripts/generate_artifact_manifest.py
.artifacts/protocol-reformat/11-integration-testing/ORIGINAL-BACKUP.md → scripts/run_contract_tests.py | call | Executes scripts/run_contract_tests.py
.artifacts/protocol-reformat/11-integration-testing/ORIGINAL-BACKUP.md → scripts/run_protocol_11_gates.py | call | Executes scripts/run_protocol_11_gates.py
.artifacts/protocol-reformat/11-integration-testing/ORIGINAL-BACKUP.md → scripts/validate_environment.py | call | Executes scripts/validate_environment.py
.artifacts/protocol-reformat/11-integration-testing/ORIGINAL-BACKUP.md → scripts/validate_prerequisites_9.py | call | Executes scripts/validate_prerequisites_9.py
.artifacts/protocol-reformat/11-integration-testing/REFORMATTED.md → .cursor/ai-driven-workflow/12-quality-audit.md | reference | References .cursor/ai-driven-workflow/12-quality-audit.md
.artifacts/protocol-reformat/11-integration-testing/REFORMATTED.md → ai-driven-workflow/12-quality-audit.md | reference | References ai-driven-workflow/12-quality-audit.md
.artifacts/protocol-reformat/11-integration-testing/REFORMATTED.md → scripts/aggregate_evidence_9.py | call | Executes scripts/aggregate_evidence_9.py
.artifacts/protocol-reformat/11-integration-testing/REFORMATTED.md → scripts/generate_artifact_manifest.py | call | Executes scripts/generate_artifact_manifest.py
.artifacts/protocol-reformat/11-integration-testing/REFORMATTED.md → scripts/run_contract_tests.py | call | Executes scripts/run_contract_tests.py
.artifacts/protocol-reformat/11-integration-testing/REFORMATTED.md → scripts/run_protocol_11_gates.py | call | Executes scripts/run_protocol_11_gates.py
.artifacts/protocol-reformat/11-integration-testing/REFORMATTED.md → scripts/validate_environment.py | call | Executes scripts/validate_environment.py
.artifacts/protocol-reformat/11-integration-testing/REFORMATTED.md → scripts/validate_prerequisites_9.py | call | Executes scripts/validate_prerequisites_9.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → .cursor/ai-driven-workflow/13-uat-coordination.md | reference | References .cursor/ai-driven-workflow/13-uat-coordination.md
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → .cursor/ai-driven-workflow/review-protocols/ | reference | References .cursor/ai-driven-workflow/review-protocols/
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → .cursor/context-kit/quality-audit-summary.json | reference | References .cursor/context-kit/quality-audit-summary.json
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → ai-driven-workflow/13-uat-coordination.md | reference | References ai-driven-workflow/13-uat-coordination.md
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → ai-driven-workflow/review-protocols/ | reference | References ai-driven-workflow/review-protocols/
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → scripts/aggregate_evidence_4.py | call | Executes scripts/aggregate_evidence_4.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → scripts/collect_change_context.py | call | Executes scripts/collect_change_context.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → scripts/run_comprehensive_review.py | call | Executes scripts/run_comprehensive_review.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → scripts/run_protocol_4_gates.py | call | Executes scripts/run_protocol_4_gates.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → scripts/run_protocol_4_pre_audit.py | call | Executes scripts/run_protocol_4_pre_audit.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → scripts/validate_gate_4_pre_audit.py | call | Executes scripts/validate_gate_4_pre_audit.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → scripts/validate_gate_4_reporting.py | call | Executes scripts/validate_gate_4_reporting.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → scripts/validate_prerequisites_4.py | call | Executes scripts/validate_prerequisites_4.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → scripts/validate_router_mapping.py | call | Executes scripts/validate_router_mapping.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → scripts/verify_specialized_execution.py | call | Executes scripts/verify_specialized_execution.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → validate_gate_4_pre_audit.py | reference | Mentions validator validate_gate_4_pre_audit.py
.artifacts/protocol-reformat/12-quality-audit/12-quality-audit.md → validate_gate_4_reporting.py | reference | Mentions validator validate_gate_4_reporting.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/13-uat-coordination.md | reference | References .cursor/ai-driven-workflow/13-uat-coordination.md
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/review-protocols/ | reference | References .cursor/ai-driven-workflow/review-protocols/
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → .cursor/context-kit/quality-audit-summary.json | reference | References .cursor/context-kit/quality-audit-summary.json
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → ai-driven-workflow/13-uat-coordination.md | reference | References ai-driven-workflow/13-uat-coordination.md
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → ai-driven-workflow/review-protocols/ | reference | References ai-driven-workflow/review-protocols/
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → scripts/aggregate_evidence_4.py | call | Executes scripts/aggregate_evidence_4.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → scripts/collect_change_context.py | call | Executes scripts/collect_change_context.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → scripts/run_comprehensive_review.py | call | Executes scripts/run_comprehensive_review.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → scripts/run_protocol_4_gates.py | call | Executes scripts/run_protocol_4_gates.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → scripts/run_protocol_4_pre_audit.py | call | Executes scripts/run_protocol_4_pre_audit.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → scripts/validate_gate_4_pre_audit.py | call | Executes scripts/validate_gate_4_pre_audit.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → scripts/validate_gate_4_reporting.py | call | Executes scripts/validate_gate_4_reporting.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → scripts/validate_prerequisites_4.py | call | Executes scripts/validate_prerequisites_4.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → scripts/validate_router_mapping.py | call | Executes scripts/validate_router_mapping.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → scripts/verify_specialized_execution.py | call | Executes scripts/verify_specialized_execution.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → validate_gate_4_pre_audit.py | reference | Mentions validator validate_gate_4_pre_audit.py
.artifacts/protocol-reformat/12-quality-audit/ORIGINAL-BACKUP.md → validate_gate_4_reporting.py | reference | Mentions validator validate_gate_4_reporting.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → .cursor/ai-driven-workflow/13-uat-coordination.md | reference | References .cursor/ai-driven-workflow/13-uat-coordination.md
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → .cursor/ai-driven-workflow/review-protocols/ | reference | References .cursor/ai-driven-workflow/review-protocols/
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → .cursor/context-kit/quality-audit-summary.json | reference | References .cursor/context-kit/quality-audit-summary.json
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → ai-driven-workflow/13-uat-coordination.md | reference | References ai-driven-workflow/13-uat-coordination.md
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → ai-driven-workflow/review-protocols/ | reference | References ai-driven-workflow/review-protocols/
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → scripts/aggregate_evidence_4.py | call | Executes scripts/aggregate_evidence_4.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → scripts/collect_change_context.py | call | Executes scripts/collect_change_context.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → scripts/run_comprehensive_review.py | call | Executes scripts/run_comprehensive_review.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → scripts/run_protocol_4_gates.py | call | Executes scripts/run_protocol_4_gates.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → scripts/run_protocol_4_pre_audit.py | call | Executes scripts/run_protocol_4_pre_audit.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → scripts/validate_gate_4_pre_audit.py | call | Executes scripts/validate_gate_4_pre_audit.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → scripts/validate_gate_4_reporting.py | call | Executes scripts/validate_gate_4_reporting.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → scripts/validate_prerequisites_4.py | call | Executes scripts/validate_prerequisites_4.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → scripts/validate_router_mapping.py | call | Executes scripts/validate_router_mapping.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → scripts/verify_specialized_execution.py | call | Executes scripts/verify_specialized_execution.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → validate_gate_4_pre_audit.py | reference | Mentions validator validate_gate_4_pre_audit.py
.artifacts/protocol-reformat/12-quality-audit/REFORMATTED.md → validate_gate_4_reporting.py | reference | Mentions validator validate_gate_4_reporting.py
.artifacts/protocol-reformat/12-quality-audit/validation-report.md → .cursor/ai-driven-workflow/review-protocols/ | reference | References .cursor/ai-driven-workflow/review-protocols/
.artifacts/protocol-reformat/12-quality-audit/validation-report.md → .cursor/context-kit/quality-audit-summary.json | reference | References .cursor/context-kit/quality-audit-summary.json
.artifacts/protocol-reformat/12-quality-audit/validation-report.md → ai-driven-workflow/review-protocols/ | reference | References ai-driven-workflow/review-protocols/
.artifacts/protocol-reformat/12-quality-audit/validation-report.md → validate_gate_4_pre_audit.py | reference | Mentions validator validate_gate_4_pre_audit.py
.artifacts/protocol-reformat/12-quality-audit/validation-report.md → validate_gate_4_reporting.py | reference | Mentions validator validate_gate_4_reporting.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → .cursor/ai-driven-workflow/14-pre-deployment-staging.md | reference | References .cursor/ai-driven-workflow/14-pre-deployment-staging.md
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → ai-driven-workflow/14-pre-deployment-staging.md | reference | References ai-driven-workflow/14-pre-deployment-staging.md
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → scripts/aggregate_evidence_15.py | call | Executes scripts/aggregate_evidence_15.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → scripts/build_uat_toolkit.py | call | Executes scripts/build_uat_toolkit.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → scripts/generate_release_notes.py | call | Executes scripts/generate_release_notes.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → scripts/run_protocol_15_gates.py | call | Executes scripts/run_protocol_15_gates.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → scripts/validate_gate_15_acceptance.py | call | Executes scripts/validate_gate_15_acceptance.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → scripts/validate_gate_15_defects.py | call | Executes scripts/validate_gate_15_defects.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → scripts/validate_gate_15_entry.py | call | Executes scripts/validate_gate_15_entry.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → scripts/validate_gate_15_execution.py | call | Executes scripts/validate_gate_15_execution.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → scripts/validate_prerequisites_15.py | call | Executes scripts/validate_prerequisites_15.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → validate_gate_15_acceptance.py | reference | Mentions validator validate_gate_15_acceptance.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → validate_gate_15_defects.py | reference | Mentions validator validate_gate_15_defects.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → validate_gate_15_entry.py | reference | Mentions validator validate_gate_15_entry.py
.artifacts/protocol-reformat/13-uat-coordination/13-uat-coordination.md → validate_gate_15_execution.py | reference | Mentions validator validate_gate_15_execution.py
.artifacts/protocol-reformat/13-uat-coordination/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/14-pre-deployment-staging.md | reference | References .cursor/ai-driven-workflow/14-pre-deployment-staging.md
.artifacts/protocol-reformat/13-uat-coordination/ORIGINAL-BACKUP.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/13-uat-coordination/ORIGINAL-BACKUP.md → ai-driven-workflow/14-pre-deployment-staging.md | reference | References ai-driven-workflow/14-pre-deployment-staging.md
